Freq.	V(vo)
1.65196179822900e+000	(-4.76030028126721e+001dB,9.58903180622884e+001°)
1.65576996346951e+000	(-4.75827651583914e+001dB,9.58751031562282e+001°)
1.65958690743754e+000	(-4.75625285914420e+001dB,9.58599183516310e+001°)
1.66341265037015e+000	(-4.75422931069855e+001dB,9.58447635751028e+001°)
1.66724721255104e+000	(-4.75220587002043e+001dB,9.58296387533601e+001°)
1.67109061431069e+000	(-4.75018253663013e+001dB,9.58145438132310e+001°)
1.67494287602642e+000	(-4.74815931005019e+001dB,9.57994786816552e+001°)
1.67880401812254e+000	(-4.74613618980516e+001dB,9.57844432856832e+001°)
1.68267406107045e+000	(-4.74411317542174e+001dB,9.57694375524767e+001°)
1.68655302538872e+000	(-4.74209026642870e+001dB,9.57544614093086e+001°)
1.69044093164324e+000	(-4.74006746235691e+001dB,9.57395147835627e+001°)
1.69433780044731e+000	(-4.73804476273928e+001dB,9.57245976027335e+001°)
1.69824365246172e+000	(-4.73602216711086e+001dB,9.57097097944267e+001°)
1.70215850839493e+000	(-4.73399967500863e+001dB,9.56948512863580e+001°)
1.70608238900310e+000	(-4.73197728597174e+001dB,9.56800220063546e+001°)
1.71001531509027e+000	(-4.72995499954135e+001dB,9.56652218823537e+001°)
1.71395730750840e+000	(-4.72793281526063e+001dB,9.56504508424031e+001°)
1.71790838715757e+000	(-4.72591073267474e+001dB,9.56357088146607e+001°)
1.72186857498599e+000	(-4.72388875133094e+001dB,9.56209957273952e+001°)
1.72583789199018e+000	(-4.72186687077845e+001dB,9.56063115089851e+001°)
1.72981635921508e+000	(-4.71984509056848e+001dB,9.55916560879192e+001°)
1.73380399775412e+000	(-4.71782341025424e+001dB,9.55770293927960e+001°)
1.73780082874935e+000	(-4.71580182939090e+001dB,9.55624313523240e+001°)
1.74180687339159e+000	(-4.71378034753569e+001dB,9.55478618953221e+001°)
1.74582215292048e+000	(-4.71175896424765e+001dB,9.55333209507177e+001°)
1.74984668862464e+000	(-4.70973767908799e+001dB,9.55188084475492e+001°)
1.75388050184174e+000	(-4.70771649161965e+001dB,9.55043243149633e+001°)
1.75792361395867e+000	(-4.70569540140765e+001dB,9.54898684822170e+001°)
1.76197604641161e+000	(-4.70367440801889e+001dB,9.54754408786759e+001°)
1.76603782068614e+000	(-4.70165351102224e+001dB,9.54610414338154e+001°)
1.77010895831740e+000	(-4.69963270998842e+001dB,9.54466700772196e+001°)
1.77418948089014e+000	(-4.69761200449011e+001dB,9.54323267385818e+001°)
1.77827941003890e+000	(-4.69559139410187e+001dB,9.54180113477039e+001°)
1.78237876744807e+000	(-4.69357087840019e+001dB,9.54037238344971e+001°)
1.78648757485203e+000	(-4.69155045696335e+001dB,9.53894641289805e+001°)
1.79060585403527e+000	(-4.68953012937163e+001dB,9.53752321612825e+001°)
1.79473362683250e+000	(-4.68750989520713e+001dB,9.53610278616398e+001°)
1.79887091512876e+000	(-4.68548975405376e+001dB,9.53468511603970e+001°)
1.80301774085955e+000	(-4.68346970549735e+001dB,9.53327019880070e+001°)
1.80717412601090e+000	(-4.68144974912557e+001dB,9.53185802750315e+001°)
1.81134009261958e+000	(-4.67942988452789e+001dB,9.53044859521392e+001°)
1.81551566277311e+000	(-4.67741011129563e+001dB,9.52904189501072e+001°)
1.81970085860996e+000	(-4.67539042902200e+001dB,9.52763791998207e+001°)
1.82389570231961e+000	(-4.67337083730190e+001dB,9.52623666322716e+001°)
1.82810021614272e+000	(-4.67135133573211e+001dB,9.52483811785599e+001°)
1.83231442237119e+000	(-4.66933192391123e+001dB,9.52344227698930e+001°)
1.83653834334832e+000	(-4.66731260143961e+001dB,9.52204913375856e+001°)
1.84077200146893e+000	(-4.66529336791941e+001dB,9.52065868130591e+001°)
1.84501541917945e+000	(-4.66327422295458e+001dB,9.51927091278427e+001°)
1.84926861897805e+000	(-4.66125516615080e+001dB,9.51788582135715e+001°)
1.85353162341479e+000	(-4.65923619711555e+001dB,9.51650340019883e+001°)
1.85780445509167e+000	(-4.65721731545804e+001dB,9.51512364249418e+001°)
1.86208713666284e+000	(-4.65519852078924e+001dB,9.51374654143877e+001°)
1.86637969083464e+000	(-4.65317981272188e+001dB,9.51237209023879e+001°)
1.87068214036577e+000	(-4.65116119087040e+001dB,9.51100028211106e+001°)
1.87499450806739e+000	(-4.64914265485097e+001dB,9.50963111028301e+001°)
1.87931681680324e+000	(-4.64712420428150e+001dB,9.50826456799266e+001°)
1.88364908948977e+000	(-4.64510583878159e+001dB,9.50690064848863e+001°)
1.88799134909627e+000	(-4.64308755797253e+001dB,9.50553934503010e+001°)
1.89234361864495e+000	(-4.64106936147737e+001dB,9.50418065088682e+001°)
1.89670592121112e+000	(-4.63905124892077e+001dB,9.50282455933906e+001°)
1.90107827992327e+000	(-4.63703321992915e+001dB,9.50147106367767e+001°)
1.90546071796322e+000	(-4.63501527413055e+001dB,9.50012015720396e+001°)
1.90985325856621e+000	(-4.63299741115474e+001dB,9.49877183322981e+001°)
1.91425592502106e+000	(-4.63097963063304e+001dB,9.49742608507749e+001°)
1.91866874067026e+000	(-4.62896193219860e+001dB,9.49608290607987e+001°)
1.92309172891013e+000	(-4.62694431548603e+001dB,9.49474228958018e+001°)
1.92752491319091e+000	(-4.62492678013176e+001dB,9.49340422893217e+001°)
1.93196831701690e+000	(-4.62290932577367e+001dB,9.49206871749995e+001°)
1.93642196394658e+000	(-4.62089195205146e+001dB,9.49073574865813e+001°)
1.94088587759275e+000	(-4.61887465860632e+001dB,9.48940531579167e+001°)
1.94536008162263e+000	(-4.61685744508105e+001dB,9.48807741229591e+001°)
1.94984459975802e+000	(-4.61484031112018e+001dB,9.48675203157663e+001°)
1.95433945577537e+000	(-4.61282325636972e+001dB,9.48542916704992e+001°)
1.95884467350596e+000	(-4.61080628047731e+001dB,9.48410881214221e+001°)
1.96336027683602e+000	(-4.60878938309220e+001dB,9.48279096029030e+001°)
1.96788628970682e+000	(-4.60677256386521e+001dB,9.48147560494128e+001°)
1.97242273611482e+000	(-4.60475582244871e+001dB,9.48016273955254e+001°)
1.97696964011183e+000	(-4.60273915849665e+001dB,9.47885235759176e+001°)
1.98152702580507e+000	(-4.60072257166459e+001dB,9.47754445253691e+001°)
1.98609491735734e+000	(-4.59870606160958e+001dB,9.47623901787621e+001°)
1.99067333898716e+000	(-4.59668962799024e+001dB,9.47493604710810e+001°)
1.99526231496885e+000	(-4.59467327046674e+001dB,9.47363553374126e+001°)
1.99986186963271e+000	(-4.59265698870074e+001dB,9.47233747129456e+001°)
2.00447202736513e+000	(-4.59064078235554e+001dB,9.47104185329712e+001°)
2.00909281260870e+000	(-4.58862465109583e+001dB,9.46974867328819e+001°)
2.01372424986236e+000	(-4.58660859458789e+001dB,9.46845792481718e+001°)
2.01836636368153e+000	(-4.58459261249951e+001dB,9.46716960144370e+001°)
2.02301917867824e+000	(-4.58257670449994e+001dB,9.46588369673742e+001°)
2.02768271952125e+000	(-4.58056087025998e+001dB,9.46460020427819e+001°)
2.03235701093619e+000	(-4.57854510945188e+001dB,9.46331911765593e+001°)
2.03704207770569e+000	(-4.57652942174939e+001dB,9.46204043047064e+001°)
2.04173794466950e+000	(-4.57451380682774e+001dB,9.46076413633241e+001°)
2.04644463672464e+000	(-4.57249826436363e+001dB,9.45949022886137e+001°)
2.05116217882553e+000	(-4.57048279403521e+001dB,9.45821870168768e+001°)
2.05589059598411e+000	(-4.56846739552212e+001dB,9.45694954845154e+001°)
2.06062991326997e+000	(-4.56645206850541e+001dB,9.45568276280312e+001°)
2.06538015581050e+000	(-4.56443681266764e+001dB,9.45441833840264e+001°)
2.07014134879101e+000	(-4.56242162769273e+001dB,9.45315626892021e+001°)
2.07491351745488e+000	(-4.56040651326611e+001dB,9.45189654803595e+001°)
2.07969668710366e+000	(-4.55839146907461e+001dB,9.45063916943992e+001°)
2.08449088309726e+000	(-4.55637649480644e+001dB,9.44938412683206e+001°)
2.08929613085401e+000	(-4.55436159015132e+001dB,9.44813141392227e+001°)
2.09411245585086e+000	(-4.55234675480027e+001dB,9.44688102443028e+001°)
2.09893988362349e+000	(-4.55033198844580e+001dB,9.44563295208574e+001°)
2.10377843976644e+000	(-4.54831729078181e+001dB,9.44438719062815e+001°)
2.10862814993326e+000	(-4.54630266150353e+001dB,9.44314373380681e+001°)
2.11348903983661e+000	(-4.54428810030763e+001dB,9.44190257538087e+001°)
2.11836113524847e+000	(-4.54227360689220e+001dB,9.44066370911931e+001°)
2.12324446200018e+000	(-4.54025918095661e+001dB,9.43942712880085e+001°)
2.12813904598268e+000	(-4.53824482220162e+001dB,9.43819282821397e+001°)
2.13304491314654e+000	(-4.53623053032945e+001dB,9.43696080115698e+001°)
2.13796208950220e+000	(-4.53421630504356e+001dB,9.43573104143786e+001°)
2.14289060112002e+000	(-4.53220214604882e+001dB,9.43450354287431e+001°)
2.14783047413050e+000	(-4.53018805305142e+001dB,9.43327829929377e+001°)
2.15278173472434e+000	(-4.52817402575894e+001dB,9.43205530453334e+001°)
2.15774440915263e+000	(-4.52616006388025e+001dB,9.43083455243979e+001°)
2.16271852372698e+000	(-4.52414616712553e+001dB,9.42961603686952e+001°)
2.16770410481966e+000	(-4.52213233520636e+001dB,9.42839975168860e+001°)
2.17270117886371e+000	(-4.52011856783557e+001dB,9.42718569077269e+001°)
2.17770977235312e+000	(-4.51810486472732e+001dB,9.42597384800705e+001°)
2.18272991184296e+000	(-4.51609122559710e+001dB,9.42476421728653e+001°)
2.18776162394952e+000	(-4.51407765016165e+001dB,9.42355679251550e+001°)
2.19280493535041e+000	(-4.51206413813908e+001dB,9.42235156760795e+001°)
2.19785987278479e+000	(-4.51005068924874e+001dB,9.42114853648734e+001°)
2.20292646305342e+000	(-4.50803730321126e+001dB,9.41994769308663e+001°)
2.20800473301886e+000	(-4.50602397974861e+001dB,9.41874903134833e+001°)
2.21309470960560e+000	(-4.50401071858392e+001dB,9.41755254522434e+001°)
2.21819641980018e+000	(-4.50199751944171e+001dB,9.41635822867608e+001°)
2.22330989065136e+000	(-4.49998438204769e+001dB,9.41516607567439e+001°)
2.22843514927026e+000	(-4.49797130612887e+001dB,9.41397608019952e+001°)
2.23357222283049e+000	(-4.49595829141350e+001dB,9.41278823624113e+001°)
2.23872113856830e+000	(-4.49394533763100e+001dB,9.41160253779821e+001°)
2.24388192378273e+000	(-4.49193244451220e+001dB,9.41041897887924e+001°)
2.24905460583574e+000	(-4.48991961178900e+001dB,9.40923755350191e+001°)
2.25423921215239e+000	(-4.48790683919464e+001dB,9.40805825569331e+001°)
2.25943577022094e+000	(-4.48589412646356e+001dB,9.40688107948985e+001°)
2.26464430759302e+000	(-4.48388147333134e+001dB,9.40570601893715e+001°)
2.26986485188378e+000	(-4.48186887953491e+001dB,9.40453306809022e+001°)
