Freq.	V(vo)/V(vi)
2.16271852372698e+000	(-4.51998255540937e+001dB,8.94933212514096e+001°)
2.16770410481966e+000	(-4.51798271217083e+001dB,8.94921532973693e+001°)
2.17270117886371e+000	(-4.51598286965581e+001dB,8.94909826513404e+001°)
2.17770977235312e+000	(-4.51398302786764e+001dB,8.94898093071201e+001°)
2.18272991184296e+000	(-4.51198318680969e+001dB,8.94886332584915e+001°)
2.18776162394952e+000	(-4.50998334648530e+001dB,8.94874544992232e+001°)
2.19280493535041e+000	(-4.50798350689790e+001dB,8.94862730230696e+001°)
2.19785987278479e+000	(-4.50598366805088e+001dB,8.94850888237705e+001°)
2.20292646305342e+000	(-4.50398382994763e+001dB,8.94839018950515e+001°)
2.20800473301886e+000	(-4.50198399259163e+001dB,8.94827122306238e+001°)
2.21309470960560e+000	(-4.49998415598627e+001dB,8.94815198241840e+001°)
2.21819641980018e+000	(-4.49798432013505e+001dB,8.94803246694141e+001°)
2.22330989065136e+000	(-4.49598448504144e+001dB,8.94791267599817e+001°)
2.22843514927026e+000	(-4.49398465070896e+001dB,8.94779260895399e+001°)
2.23357222283049e+000	(-4.49198481714110e+001dB,8.94767226517269e+001°)
2.23872113856830e+000	(-4.48998498434135e+001dB,8.94755164401666e+001°)
2.24388192378273e+000	(-4.48798515231335e+001dB,8.94743074484681e+001°)
2.24905460583574e+000	(-4.48598532106057e+001dB,8.94730956702255e+001°)
2.25423921215239e+000	(-4.48398549058665e+001dB,8.94718810990187e+001°)
2.25943577022094e+000	(-4.48198566089518e+001dB,8.94706637284123e+001°)
2.26464430759302e+000	(-4.47998583198970e+001dB,8.94694435519565e+001°)
2.26986485188378e+000	(-4.47798600387392e+001dB,8.94682205631863e+001°)
