Bode taken on 20092019-151651
0 points could not be taken due to noise in the signal.
Obtained data is as follows:
['Frequency', 'Vpp 1', 'Vpp 2', 'Phase', 'Ratio', 'Slope']
[10.473708979594498, 0.948, 0.04614, 13.5, -26.254614943059835]
[10.969857978923836, 0.964, 0.04581999999999999, 32.0, -26.460438980989043, -0.4148431987314856]
[11.489510001873091, 0.968, 0.04688, 48.04347826086956, -26.29775508596719, 0.3130631419436226]
[12.033778407775893, 0.9731666666666667, 0.04584, 58.67857142857143, -26.538852318166203, -0.4429748807467433]
[12.603829296797274, 0.9780000000000001, 0.046299999999999994, 46.65384615384615, -26.49515727539297, 0.07665112644284386]
[13.200884008314182, 0.9820000000000001, 0.0461, 41.89473684210526, -26.56821124794603, -0.12235724992012416]
[13.826221737646557, 0.9859999999999999, 0.04578333333333334, 69.17241379310344, -26.663390118085854, -0.1522039462442754]
[14.481182276745338, 0.9874999999999999, 0.048975, 62.56521739130435, -26.09125319263448, 0.8735441164724663]
[15.167168884709225, 0.9913333333333333, 0.047240000000000004, 88.18181818181819, -26.438196410495912, -0.5057580043599011]
[15.885651294280526, 0.9940000000000001, 0.05335, 90.10526315789474, -25.40503921273649, 1.4379714576114382]
[16.63816886076129, 0.9979999999999999, 0.05404000000000001, 85.25, -25.32830401874756, 0.10197129928513432]
[17.4263338600965, 0.9979999999999999, 0.0569, 91.21739130434783, -24.880365497845997, 0.5683308968038217]
[18.251834943190435, 0.9979999999999999, 0.056499999999999995, 86.33333333333333, -24.94164186935865, -0.07422930480356732]
[19.116440753857017, 1.0038333333333334, 0.058050000000000004, 88.17391304347827, -24.757187774246884, 0.2133389491906838]
[20.022003718155844, 1.0034999999999998, 0.061349999999999995, 87.66666666666667, -24.274056195209628, 0.5335151702138592]
[20.970464013232327, 1.005, 0.0621, 88.9047619047619, -24.181489231598547, 0.09759708876755445]
[21.963853724165457, 1.0041666666666667, 0.06152, 84.75, -24.255789481397755, -0.07479466414989833]
[23.00430119772918, 1.008, 0.06250000000000001, 86.18181818181819, -24.151610295308625, 0.10012921241693949]
[24.094035602395245, 1.01, 0.06468333333333333, 88.6, -23.870579628525427, 0.25788913847252276]
[25.23539170434766, 1.0091666666666665, 0.06516, 85.0, -23.799636429179113, 0.062156937019881286]
[26.430814869741056, 1.0142, 0.0716, 87.36363636363636, -23.024211678079975, 0.6486613055084611]
[27.682866303920665, 1.0114999999999998, 0.06805, 87.71428571428571, -23.442755151349395, -0.3342861657625631]
[28.994228538828768, 1.0158333333333331, 0.0725, 86.23529411764706, -22.929689059995265, 0.3912466576331477]
[30.367711180354576, 1.013, 0.0736, 84.68181818181819, -22.77463262045563, 0.11289290075583491]
[31.80625692794119, 1.015, 0.0782, 83.52173913043478, -22.265185783787672, 0.35414017074023174]
[33.31294787934674, 1.0169999999999997, 0.07428333333333335, 81.6, -22.728591384404233, -0.30756513151171716]
[34.891012134067736, 1.0192, 0.07808000000000001, 83.8, -22.314392206652798, 0.2624729484317893]
[36.54383070957256, 1.0193333333333332, 0.083225, 84.77272727272727, -21.761248450558675, 0.3346669527387026]
[38.274944785163115, 1.016, 0.084225, 82.54545454545455, -21.629053765894852, 0.07636393610786489]
[40.08806328898464, 1.019, 0.0882, 80.08695652173913, -21.25411197749213, 0.20679386792008017]
[41.9870708444391, 1.015, 0.09103333333333331, 81.8, -20.945311936583217, 0.16261127556968197]
[43.97603609302721, 1.0199999999999998, 0.092175, 82.52380952380952, -20.879740509675266, 0.03296760813417817]
[46.05922041145106, 1.0181666666666664, 0.0981, 83.5, -20.322997347368347, 0.26725583395719643]
[48.241087041653685, 1.022, 0.09842000000000001, 83.0, -20.32735070201264, -0.0019952432399088188]
[50.526310653356795, 1.0169999999999997, 0.097175, 80.0, -20.39532807238881, -0.02974648521398226]
[52.91978735958442, 1.0191666666666668, 0.10725, 83.33333333333333, -19.55695820263798, 0.35027283431230566]
[55.42664520663107, 1.0169999999999997, 0.10933333333333334, 80.2, -19.371367278614557, 0.07403328602859095]
[58.05225516094899, 1.02425, 0.11575, 82.5, -18.937699458703786, 0.16516840941952815]
[60.80224261649424, 1.0231666666666668, 0.1166, 80.5, -18.86495665147317, 0.026452050566242172]
[63.68249944718586, 1.0193333333333332, 0.12133333333333333, 78.33333333333333, -18.486721948544904, 0.13131978332551822]
[66.69919663030122, 1.022, 0.12133333333333333, 80.5, -18.50941533738601, -0.007522594235882118]
[69.8587974678525, 1.0197999999999998, 0.131, 76.2, -17.824874239513807, 0.2166542968771738]
[73.16807143427197, 1.0236666666666667, 0.133, 78.5, -17.726138415126414, 0.029836098609334113]
[76.63410868007459, 1.022, 0.1386, 77.6, -17.35375331045812, 0.10743828708686035]
[80.26433522257175, 1.0181666666666664, 0.14, 78.25, -17.233816781402556, 0.03303830426325487]
[84.06652885618325, 1.0231999999999999, 0.1475, 75.75, -16.823370223128315, 0.10794993570182253]
[88.04883581643465, 1.0231666666666668, 0.1525, 73.4, -16.533530786276984, 0.0727817919975295]
[92.21978823334327, 1.0205, 0.1612, 75.0, -16.028959431660347, 0.12097269500633849]
[96.58832241158703, 1.0248333333333333, 0.1612, 73.2, -16.065764103838656, -0.008424947745997885]
[101.1637979766207, 1.0193333333333332, 0.164, 72.2, -15.869447566178819, 0.04290625856689353]
[105.9560179277616, 1.0225, 0.17325000000000002, 70.2, -15.419801467910702, 0.09382835154740103]
[110.97524964120721, 1.0205, 0.18400000000000002, 71.6, -14.879903720851056, 0.10756581442800436]
[116.23224686798518, 1.0248333333333333, 0.18699999999999997, 72.0, -14.776232722490118, 0.019720573150174243]
[121.7382727739662, 1.022, 0.19480000000000003, 71.66666666666667, -14.397238865121942, 0.06883255978808364]
[127.50512407130128, 1.024, 0.20174999999999998, 70.0, -14.109728264914079, 0.049855733290838394]
[133.54515629298987, 1.0231666666666668, 0.21, 67.5, -13.754541765254691, 0.058805398154000106]
[139.87131026472386, 1.0205, 0.21480000000000002, 70.6, -13.535574640491426, 0.03461299325650892]
[146.49713983072849, 1.022, 0.22640000000000002, 67.75, -13.091489465649202, 0.06702333200973157]
[153.43684089300132, 1.024, 0.23416666666666672, 66.33333333333333, -12.815497655647137, 0.03976998541082321]
[160.70528182616385, 1.026, 0.24559999999999998, 65.5, -12.418379966133347, 0.054635883150941665]
[168.31803533309568, 1.0243333333333335, 0.25275000000000003, 64.75, -12.155002825473542, 0.03459683022969109]
[176.2914118095948, 1.027, 0.25925, 64.25, -11.957033570723992, 0.024828785563186243]
[184.64249428955426, 1.022, 0.26866666666666666, 62.166666666666664, -11.604742174265315, 0.04218511759452606]
[193.38917504552322, 1.0181666666666667, 0.2788333333333333, 61.333333333333336, -11.2494836833923, 0.040616377890616055]
[202.55019392306664, 1.0248000000000002, 0.284, 60.333333333333336, -11.146415533791847, 0.011250729965539765]
[212.14517849106298, 1.0198, 0.3004, 56.0, -10.61630158598648, 0.055249067265156354]
[222.19468609395238, 1.0225, 0.3093333333333333, 58.5, -10.384731903603598, 0.023042888421349394]
[232.72024789604072, 1.0205, 0.3164, 57.0, -10.171530684529007, 0.020255566694054348]
[243.74441501222216, 1.0208333333333335, 0.324, 55.25, -9.968196648926288, 0.018444389808302344]
[255.29080682395167, 1.0197999999999998, 0.333, 55.0, -9.721415482502696, 0.021373011625406373]
[267.3841615839947, 1.0231666666666668, 0.349, 53.0, -9.34241912074948, 0.03133922466290641]
[280.0503894183631, 1.0227999999999997, 0.3561666666666666, 54.2, -9.162748951477441, 0.014184978481479886]
[293.31662783900424, 1.0205, 0.36333333333333334, 52.8, -8.970155316622561, 0.014517576780108312]
[307.21129988617594, 1.0243333333333335, 0.3748, 51.0, -8.732834466419504, 0.017079989322336273]
[321.76417502507354, 1.0228333333333333, 0.383, 50.0, -8.53212197863331, 0.013791947355455627]
[337.0064329271928, 1.0231666666666668, 0.39580000000000004, 47.333333333333336, -8.249411862525525, 0.01854778458173686]
[352.970730273065, 1.0239999999999998, 0.4063333333333334, 46.0, -8.028350114821846, 0.01384725822341552]
[369.6912707195028, 1.027, 0.415, 45.6, -7.87044693770371, 0.009443664672440427]
[387.20387818125573, 1.0243333333333333, 0.4235, 45.0, -7.671757817399802, 0.011345490426702026]
[405.54607358408276, 1.0282, 0.432, 42.0, -7.53187705432206, 0.007626173421758542]
[424.75715525368986, 1.0231666666666668, 0.44216666666666665, 41.4, -7.287207667959365, 0.012735846454173113]
[444.87828311275854, 1.024, 0.448, 41.2, -7.180438852833358, 0.005306303695987165]
[465.9525668664682, 1.022, 0.457, 39.166666666666664, -6.990693914576874, 0.009003624534716809]
[488.02515836544336, 1.0228333333333335, 0.464, 36.0, -6.865737846908147, 0.0056611416776561315]
[511.14334834401654, 1.0248333333333333, 0.47139999999999993, 37.0, -6.745273289453994, 0.00521081267892531]
[535.3566677410724, 1.022, 0.4815999999999999, 35.4, -6.535288350978518, 0.008672290446100855]
[560.7169938205458, 1.0193333333333332, 0.48900000000000005, 33.166666666666664, -6.3801473446603705, 0.006117468909191926]
[587.2786613189483, 1.0231666666666668, 0.4948333333333333, 33.6, -6.309748715685056, 0.0026503843924538446]
[615.0985788580505, 1.0228333333333333, 0.5014, 31.25, -6.19241086556181, 0.004217764123790865]
[644.236350872137, 1.0248333333333333, 0.508, 30.0, -6.095790607541708, 0.00331597961482409]
[674.7544053110693, 1.0243333333333335, 0.51075, 28.4, -6.044658604644613, 0.0016754673204811255]
[706.7181273927491, 1.024, 0.5177499999999999, 29.2, -5.923596981486437, 0.003787469520877945]
